Date,Open,High,Low,Close,Adj Close,Volume,Volatility_High-Low,Volatility_Adj_Close
2024-11-19,4.0985,4.161,4.095,4.13,4.13,362.0,0.06599999999999984,0.013500000000000512
2024-11-18,4.063,4.116,4.063,4.108,4.108,371.0,0.052999999999999936,0.02200000000000024
2024-11-15,4.124,4.1255,4.0485,4.051,4.051,349.0,0.07699999999999996,0.056999999999999496
2024-11-14,4.0615,4.073,4.058,4.073,4.073,451.0,0.015000000000000568,0.02200000000000024
2024-11-13,4.114,4.114,4.0615,4.066,4.066,645.0,0.05250000000000021,0.007000000000000561
2024-11-12,4.1655,4.1655,4.1175,4.1195,4.1195,542.0,0.04800000000000004,0.05350000000000055
2024-11-11,4.306,4.306,4.211,4.211,4.211,565.0,0.09499999999999975,0.09149999999999991
2024-11-08,4.3885,4.3885,4.2755,4.2865,4.2865,473.0,0.11299999999999955,0.0754999999999999
2024-11-07,4.2245,4.4115,4.2245,4.41,4.41,394.0,0.18700000000000028,0.12349999999999994
2024-11-06,4.274,4.274,4.2075,4.2225,4.2225,732.0,0.06650000000000045,0.1875
2024-11-05,4.399,4.458,4.399,4.4505,4.4505,585.0,0.05900000000000016,0.22799999999999976
2024-11-04,4.371,4.416,4.371,4.407,4.407,471.0,0.04499999999999993,0.04349999999999987
2024-11-01,4.355,4.355,4.33,4.3475,4.3475,695.0,0.025000000000000355,0.059499999999999886
2024-10-31,4.3325,4.34,4.3025,4.3135,4.3135,1249.0,0.037499999999999645,0.03399999999999981
2024-10-30,4.3395,4.357,4.3125,4.3275,4.3275,936.0,0.044500000000000206,0.013999999999999346
2024-10-29,4.325,4.348,4.325,4.3325,4.3325,1134.0,0.022999999999999687,0.004999999999999893
2024-10-28,4.333,4.3365,4.33,4.332,4.332,611.0,0.00649999999999995,0.0004999999999997229
2024-10-25,4.3055,4.3395,4.3055,4.3395,4.3395,386.0,0.03399999999999981,0.007500000000000284
2024-10-24,4.367,4.367,4.293,4.3195,4.3195,556.0,0.07399999999999984,0.020000000000000462
2024-10-23,4.32,4.32,4.28,4.3045,4.3045,474.0,0.040000000000000036,0.01499999999999968
2024-10-22,4.367,4.367,4.348,4.348,4.348,378.0,0.019000000000000128,0.04349999999999987
2024-10-21,4.3515,4.3515,4.319,4.323,4.323,425.0,0.03249999999999975,0.024999999999999467
2024-10-18,4.352,4.371,4.333,4.346,4.346,406.0,0.038000000000000256,0.022999999999999687
2024-10-17,4.345,4.345,4.285,4.2865,4.2865,345.0,0.05999999999999961,0.059499999999999886
2024-10-16,4.319,4.3355,4.314,4.3315,4.3315,430.0,0.02149999999999963,0.04499999999999993
2024-10-15,4.3645,4.3645,4.293,4.3005,4.3005,614.0,0.07149999999999945,0.030999999999999694
2024-10-14,4.35,4.399,4.345,4.3635,4.3635,398.0,0.05400000000000027,0.06299999999999972
2024-10-11,4.4055,4.4515,4.4055,4.4515,4.4515,336.0,0.04600000000000026,0.08800000000000008
2024-10-10,4.377,4.4025,4.377,4.385,4.385,259.0,0.025500000000000078,0.06650000000000045
2024-10-09,4.3905,4.3905,4.355,4.355,4.355,425.0,0.035499999999999865,0.02999999999999936
2024-10-08,4.428,4.433,4.4065,4.412,4.412,504.0,0.026499999999999524,0.056999999999999496
2024-10-07,4.514,4.519,4.4955,4.519,4.519,413.0,0.0235000000000003,0.1070000000000002
2024-10-04,4.5045,4.551,4.5045,4.5225,4.5225,440.0,0.046499999999999986,0.0034999999999998366
2024-10-03,4.611,4.611,4.4755,4.502,4.502,407.0,0.1354999999999995,0.020500000000000185
2024-10-02,4.5765,4.6055,4.5685,4.596,4.596,469.0,0.03699999999999992,0.0940000000000003
2024-10-01,4.512,4.538,4.511,4.5355,4.5355,748.0,0.027000000000000135,0.06050000000000022
2024-09-30,4.61,4.61,4.465,4.496,4.496,416.0,0.14500000000000046,0.039499999999999424
2024-09-27,4.567,4.5895,4.521,4.541,4.541,1128.0,0.06850000000000023,0.04499999999999993
2024-09-26,4.4785,4.581,4.4785,4.581,4.581,1237.0,0.10250000000000004,0.040000000000000036
2024-09-25,4.453,4.453,4.424,4.428,4.428,563.0,0.028999999999999915,0.15300000000000047
2024-09-24,4.3,4.4295,4.3,4.4295,4.4295,431.0,0.12950000000000017,0.0015000000000000568
2024-09-23,4.2495,4.2975,4.248,4.289,4.289,755.0,0.0495000000000001,0.1405000000000003
2024-09-20,4.317,4.318,4.261,4.2815,4.2815,276.0,0.056999999999999496,0.007499999999999396
2024-09-19,4.3,4.3105,4.2695,4.286,4.286,566.0,0.04100000000000037,0.004499999999999282
2024-09-18,4.1885,4.27,4.1885,4.238,4.238,311.0,0.08149999999999924,0.047999999999999154
2024-09-17,4.224,4.233,4.1935,4.2135,4.2135,463.0,0.039499999999999424,0.024500000000000632
2024-09-16,4.2,4.247,4.2,4.213,4.213,539.0,0.04699999999999971,0.0004999999999997229
2024-09-13,4.1485,4.184,4.1485,4.175,4.175,509.0,0.035499999999999865,0.038000000000000256
2024-09-12,4.112,4.1665,4.112,4.133,4.133,749.0,0.05449999999999999,0.041999999999999815
2024-09-11,4.058,4.103,4.058,4.083,4.083,550.0,0.04499999999999993,0.04999999999999982
2024-09-10,4.08,4.08,4.033,4.0405,4.0405,674.0,0.04699999999999971,0.042500000000000426
2024-09-09,4.046,4.096,4.046,4.0845,4.0845,679.0,0.04999999999999982,0.04400000000000048
2024-09-06,4.079,4.114,4.0045,4.0145,4.0145,679.0,0.10949999999999971,0.07000000000000028
2024-09-05,4.027,4.1035,3.982,4.0775,4.0775,543.0,0.12150000000000016,0.06299999999999972
2024-09-04,4.031,4.043,3.99,4.0195,4.0195,944.0,0.052999999999999936,0.05799999999999983
2024-09-03,4.149,4.1545,3.993,4.032,4.032,1114.0,0.16149999999999975,0.012500000000000178
2024-08-30,4.1805,4.196,4.1425,4.145,4.145,525.0,0.05349999999999966,0.11299999999999955
2024-08-29,4.145,4.178,4.1045,4.1475,4.1475,525.0,0.07350000000000012,0.002500000000000391
2024-08-28,4.22,4.22,4.145,4.145,4.145,525.0,0.07500000000000018,0.002500000000000391
2024-08-27,4.2435,4.244,4.2305,4.2305,4.2305,256.0,0.013499999999999623,0.08550000000000058
2024-08-26,4.1995,4.2145,4.1995,4.2115,4.2115,346.0,0.015000000000000568,0.019000000000000128
